name,Status,Fantasy_Team,Manager,match_key
Macklin Celebrini,Rostered,Slapkovský My Sherwood,VM,macklin celebrini
Jack Eichel,Rostered,Slapkovský My Sherwood,VM,jack eichel
Ryan Hartman,Rostered,Slapkovský My Sherwood,VM,ryan hartman
Clayton Keller,Rostered,Slapkovský My Sherwood,VM,clayton keller
Kirill Kaprizov,Rostered,Slapkovský My Sherwood,VM,kirill kaprizov
Matt Boldy,Rostered,Slapkovský My Sherwood,VM,matt boldy
Kiefer Sherwood,Rostered,Slapkovský My Sherwood,VM,kiefer sherwood
Charlie Coyle,Rostered,Slapkovský My Sherwood,VM,charlie coyle
Juraj Slafkovský,Rostered,Slapkovský My Sherwood,VM,juraj slafkovský
Jake Sanderson,Rostered,Slapkovský My Sherwood,VM,jake sanderson
Miro Heiskanen,Rostered,Slapkovský My Sherwood,VM,miro heiskanen
Jacob Trouba,Rostered,Slapkovský My Sherwood,VM,jacob trouba
Darnell Nurse,Rostered,Slapkovský My Sherwood,VM,darnell nurse
Mathew Barzal,Rostered,Slapkovský My Sherwood,VM,mathew barzal
Adam Fox,Rostered,Slapkovský My Sherwood,VM,adam fox
Jet Greaves,Rostered,Slapkovský My Sherwood,VM,jet greaves
Arturs Silovs,Rostered,Slapkovský My Sherwood,VM,arturs silovs
Elvis Merzlikins,Rostered,Slapkovský My Sherwood,VM,elvis merzlikins
Joseph Woll,Rostered,Slapkovský My Sherwood,VM,joseph woll
Adam Fantilli,Rostered,Moves Like Jagr,Darryl,adam fantilli
Matt Duchene,Rostered,Moves Like Jagr,Darryl,matt duchene
Nazem Kadri,Rostered,Moves Like Jagr,Darryl,nazem kadri
Jason Zucker,Rostered,Moves Like Jagr,Darryl,jason zucker
Jason Robertson,Rostered,Moves Like Jagr,Darryl,jason robertson
Drake Batherson,Rostered,Moves Like Jagr,Darryl,drake batherson
Nikita Kucherov,Rostered,Moves Like Jagr,Darryl,nikita kucherov
Alex Tuch,Rostered,Moves Like Jagr,Darryl,alex tuch
Tanner Jeannot,Rostered,Moves Like Jagr,Darryl,tanner jeannot
Thomas Harley,Rostered,Moves Like Jagr,Darryl,thomas harley
Evan Bouchard,Rostered,Moves Like Jagr,Darryl,evan bouchard
Mikhail Sergachev,Rostered,Moves Like Jagr,Darryl,mikhail sergachev
Rasmus Andersson,Rostered,Moves Like Jagr,Darryl,rasmus andersson
Anze Kopitar,Rostered,Moves Like Jagr,Darryl,anze kopitar
Jordan Eberle,Rostered,Moves Like Jagr,Darryl,jordan eberle
Morgan Rielly,Rostered,Moves Like Jagr,Darryl,morgan rielly
Karel Vejmelka,Rostered,Moves Like Jagr,Darryl,karel vejmelka
Logan Thompson,Rostered,Moves Like Jagr,Darryl,logan thompson
Dustin Wolf,Rostered,Moves Like Jagr,Darryl,dustin wolf
Kevin Fiala,Rostered,Moves Like Jagr,Darryl,kevin fiala
Jesper Wallstedt,Rostered,Moves Like Jagr,Darryl,jesper wallstedt
Anton Lundell,Rostered,Dougie's Wraparound,Amit,anton lundell
Joel Eriksson Ek,Rostered,Dougie's Wraparound,Amit,joel eriksson ek
Nico Hischier,Rostered,Dougie's Wraparound,Amit,nico hischier
Steven Stamkos,Rostered,Dougie's Wraparound,Amit,steven stamkos
Evgeni Malkin,Rostered,Dougie's Wraparound,Amit,evgeni malkin
Brayden Schenn,Rostered,Dougie's Wraparound,Amit,brayden schenn
Dylan Guenther,Rostered,Dougie's Wraparound,Amit,dylan guenther
Cole Perfetti,Rostered,Dougie's Wraparound,Amit,cole perfetti
Tom Wilson,Rostered,Dougie's Wraparound,Amit,tom wilson
Radko Gudas,Rostered,Dougie's Wraparound,Amit,radko gudas
Noah Dobson,Rostered,Dougie's Wraparound,Amit,noah dobson
Mattias Ekholm,Rostered,Dougie's Wraparound,Amit,mattias ekholm
Connor Clifton,Rostered,Dougie's Wraparound,Amit,connor clifton
Jordan Kyrou,Rostered,Dougie's Wraparound,Amit,jordan kyrou
Robert Thomas,Rostered,Dougie's Wraparound,Amit,robert thomas
Filip Gustavsson,Rostered,Dougie's Wraparound,Amit,filip gustavsson
Connor Hellebuyck,Rostered,Dougie's Wraparound,Amit,connor hellebuyck
Linus Ullmark,Rostered,Dougie's Wraparound,Amit,linus ullmark
John Gibson,Rostered,Dougie's Wraparound,Amit,john gibson
J.T. Miller,Rostered,Dougie's Wraparound,Amit,j.t. miller
John Carlson,Rostered,Dougie's Wraparound,Amit,john carlson
